category,subcategory,platform,hashtag,popularity_score,engagement_rate,growth_trend,seasonal,best_posting_time
finance,crypto,TikTok,#cryptotok,85,0.072,rising,no,evening
finance,crypto,TikTok,#cryptomoney,78,0.068,stable,no,evening
finance,crypto,Instagram,#cryptoinvesting,82,0.054,rising,no,morning
finance,crypto,YouTube,#cryptocurrency,90,0.062,stable,no,evening
finance,personal_finance,TikTok,#moneytok,92,0.085,rising,no,evening
finance,personal_finance,TikTok,#personalfinance,88,0.076,rising,no,evening
finance,personal_finance,Instagram,#financialfreedom,86,0.058,stable,no,morning
finance,personal_finance,YouTube,#debtfree,84,0.065,rising,no,evening
health,fitness,TikTok,#fitnesstok,95,0.092,rising,no,morning
health,fitness,TikTok,#workoutathome,90,0.088,rising,no,morning
health,fitness,Instagram,#fitnessjourney,93,0.075,stable,no,morning
health,fitness,YouTube,#homeworkout,89,0.068,stable,no,evening
health,mindfulness,TikTok,#mindfulnesstok,82,0.079,rising,no,evening
health,mindfulness,TikTok,#mentalhealthmatters,88,0.082,rising,no,evening
health,mindfulness,Instagram,#selfcaresunday,86,0.068,stable,yes,weekend
health,mindfulness,YouTube,#meditationtechniques,80,0.059,stable,no,evening
technology,ai,TikTok,#aitok,94,0.089,rising,no,evening
technology,ai,TikTok,#aiart,92,0.085,rising,no,evening
technology,ai,Instagram,#artificialintelligence,88,0.062,rising,no,afternoon
technology,ai,YouTube,#machinelearning,86,0.058,stable,no,evening
technology,gadgets,TikTok,#techtok,93,0.087,rising,no,evening
technology,gadgets,TikTok,#gadgetreview,85,0.078,stable,no,afternoon
technology,gadgets,Instagram,#techreview,87,0.064,stable,no,afternoon
technology,gadgets,YouTube,#unboxing,90,0.072,stable,no,evening
gaming,strategy,TikTok,#gamingtok,94,0.091,rising,no,evening
gaming,strategy,TikTok,#gamingstrategy,82,0.076,rising,no,evening
gaming,strategy,Instagram,#gamingcommunity,85,0.062,stable,no,evening
gaming,strategy,YouTube,#gameplayguide,88,0.068,stable,no,evening
gaming,esports,TikTok,#esportstok,90,0.085,rising,no,evening
gaming,esports,TikTok,#progamer,86,0.079,stable,no,evening
gaming,esports,Instagram,#esportslife,84,0.061,stable,no,afternoon
gaming,esports,YouTube,#competitivegaming,89,0.067,rising,no,evening
humor,memes,TikTok,#memetok,96,0.095,rising,no,evening
humor,memes,TikTok,#funnyvideos,94,0.092,stable,no,evening
humor,memes,Instagram,#memesdaily,93,0.078,stable,no,afternoon
humor,memes,YouTube,#comedyskits,88,0.069,stable,no,evening
humor,parody,TikTok,#parody,92,0.088,stable,no,evening
humor,parody,TikTok,#comedyskit,90,0.086,rising,no,evening
humor,parody,Instagram,#funnyimpression,87,0.069,stable,no,afternoon
humor,parody,YouTube,#spoof,85,0.064,stable,no,evening
seasonal,holiday,TikTok,#christmastok,94,0.092,seasonal,yes,evening
seasonal,holiday,Instagram,#holidaygifts,92,0.075,seasonal,yes,morning
seasonal,holiday,YouTube,#giftguide,90,0.071,seasonal,yes,evening
seasonal,summer,TikTok,#summertok,95,0.093,seasonal,yes,afternoon
seasonal,summer,Instagram,#summervibes,94,0.078,seasonal,yes,afternoon
seasonal,summer,YouTube,#summerfitness,88,0.067,seasonal,yes,morning
seasonal,backtoschool,TikTok,#backtoschool,93,0.090,seasonal,yes,afternoon
seasonal,backtoschool,Instagram,#studytips,89,0.072,seasonal,yes,afternoon
seasonal,backtoschool,YouTube,#studywitme,91,0.073,seasonal,yes,evening
